Full Name,Gender,Nationality,Age Group,Course,Semester,Subjects Enrolled,Study Preference,Availability,Learning Style,Motivational Factors,Preferred Study Environment,Strengths,Hobbies,Interests Outside of Academics,Future Career Aspirations,Preferred Communication Channels,Proficiency in Tools/Technologies,Location Preference,Preferred Study Partner Personality,Past Group Project Experience,Willingness to Mentor Others
Steven Wise,Non-Binary,USA,18-21,Bachelor's,Sem 1,"Engineering Fundamentals, History, Psychology, Physics",Group,"Sun (1pm-2pm), Wed (12pm-4pm), Tue (5pm-6pm)",Reading/Writing,Competition,Library,Problem-Solving,Dance,Wildlife Conservation,Supply Chain Manager,Email,Editing Tools,In-person,Focused,Yes,No
Samantha Rose MD,Female,India,21-25,Bachelor's,Sem 7,"Economics, Engineering Fundamentals, Physics, Sociology",Individual,"Sun (12pm-3pm), Wed (2pm-4pm), Tue (5pm-6pm)",Reading/Writing,Deadlines,Group Study Rooms,Research,Photography,Tech Entrepreneurship,Data Scientist,Slack,Power Point,In-person,Collaborative,Yes,No
Todd Alvarado,Non-Binary,Ireland,21-25,Bachelor's,Sem 3,"Literature, Sociology, Economics, Engineering Fundamentals",Individual,"Sun (11am-1pm), Wed (4pm-7pm), Tue (9am-1pm)",Visual,Competition,Library,Problem-Solving,Chess,Independent Music,Supply Chain Manager,WhatsApp,Editing Tools,In-person,Competitive,Yes,Yes
Tamara Arroyo,Non-Binary,Brazil,21-25,Bachelor's,Sem 2,"Engineering Fundamentals, History, Physics, Literature",Individual,"Sun (9am-10am), Wed (2pm-6pm), Tue (12pm-1pm)",Auditory,Personal Goals,Cafes,Research,Yoga,Art Exhibitions,Supply Chain Manager,Slack,Python,Online,Competitive,No,No
Melissa Neal,Non-Binary,Brazil,18-21,Master's,Sem 6,"Urban Development, Artificial Intelligence, International Business, International Relations",Individual,"Sun (2pm-6pm), Wed (10am-11am), Tue (9am-1pm)",Visual,Personal Goals,Cafes,Problem-Solving,Hiking,Tech Entrepreneurship,Software Engineer,Email,Python,Online,Relaxed,Yes,Yes
Maria Turner,Female,Germany,25+,Bachelor's,Sem 5,"Biology, Computer Science, Sociology, Economics",Individual,"Sun (9am-1pm), Wed (10am-2pm), Tue (2pm-4pm)",Visual,Deadlines,Cafes,Research,Reading,Community Service,Project Manager,In-Person,Power Point,Online,Collaborative,No,Yes
Michelle Coffey,Female,New Zealand,21-25,Bachelor's,Sem 5,"Chemistry, Psychology, Geography, Sociology",Group,"Sun (11am-12pm), Wed (3pm-5pm), Tue (4pm-8pm)",Visual,Deadlines,Group Study Rooms,Time Management,Robotics,Group Entertainment,Project Manager,Slack,Animation Tools,In-person,Collaborative,No,No
Brenda Hamilton,Non-Binary,Nigeria,18-21,Bachelor's,Sem 4,"Biology, Computer Science, Physics, Engineering Fundamentals",Individual,"Sun (1pm-5pm), Wed (4pm-8pm), Tue (10am-11am)",Auditory,Collaboration,Library,Analytical Thinking,Robotics,Open Source Contributions,Business Analyst,In-Person,Animation Tools,In-person,Relaxed,No,Yes
Tyler Lowe,Prefer Not to Say,Germany,21-25,Master's,Sem 4,"Cybersecurity, Urban Development, Environmental Science, Finance",Group,"Sun (1pm-3pm), Wed (2pm-5pm), Tue (4pm-6pm)",Kinesthetic,Collaboration,Quiet Spaces,Time Management,Writing,Independent Music,Data Scientist,Slack,Power Point,Online,Competitive,No,Yes
Kim Ward,Binary,South Africa,21-25,Master's,Sem 3,"Urban Development, Data Science, Business Administration, Machine Learning",Individual,"Sun (10am-2pm), Wed (11am-3pm), Tue (4pm-5pm)",Reading/Writing,Collaboration,Library,Analytical Thinking,Chess,Financial Literacy Education,Supply Chain Manager,Slack,SQL,In-person,Collaborative,Yes,Yes
Diana Rose,Binary,Japan,18-21,Master's,Sem 5,"Data Science, International Relations, Marketing, Cybersecurity",Individual,"Sun (9am-10am), Wed (9am-1pm), Tue (11am-12pm)",Reading/Writing,Competition,Cafes,Presentation,Photography,Financial Literacy Education,Business Analyst,WhatsApp,Adobe Illustration,In-person,Relaxed,Yes,No
Kyle Henderson,Prefer Not to Say,Ireland,18-21,Bachelor's,Sem 1,"Sociology, Economics, Psychology, Mathematics",Group,"Sun (11am-3pm), Wed (8am-9am), Tue (2pm-6pm)",Auditory,Competition,Cafes,Time Management,Writing,Community Service,Business Analyst,Slack,Excel,Online,Focused,No,Yes
Stephen Shepherd,Male,Australia,21-25,Bachelor's,Sem 6,"Economics, Physics, Geography, Chemistry",Individual,"Sun (2pm-6pm), Wed (10am-2pm), Tue (5pm-9pm)",Auditory,Collaboration,Library,Analytical Thinking,Chess,DJ,Data Scientist,Slack,Office 365,In-person,Focused,No,No
Erika Garcia,Prefer Not to Say,Ireland,18-21,Bachelor's,Sem 5,"Mathematics, Political Science, Biology, Engineering Fundamentals",Individual,"Sun (12pm-4pm), Wed (11am-12pm), Tue (11am-3pm)",Kinesthetic,Collaboration,Group Study Rooms,Problem-Solving,Gaming,Tech Entrepreneurship,Business Analyst,Slack,Power Point,In-person,Competitive,Yes,No
Timothy Jimenez,Prefer Not to Say,Brazil,18-21,Bachelor's,Sem 1,"Literature, Economics, Physics, Mathematics",Individual,"Sun (4pm-5pm), Wed (4pm-7pm), Tue (8am-10am)",Reading/Writing,Personal Goals,Group Study Rooms,Time Management,Photography,DJ,Business Analyst,Email,Excel,In-person,Collaborative,No,Yes
Shawn Richards,Female,France,18-21,Bachelor's,Sem 8,"History, Sociology, Mathematics, Chemistry",Individual,"Sun (10am-1pm), Wed (9am-11am), Tue (9am-10am)",Reading/Writing,Collaboration,Cafes,Research,Cooking,Cultural Studies,Project Manager,WhatsApp,Excel,In-person,Collaborative,Yes,Yes
Daniel Mccall,Male,USA,21-25,Master's,Sem 3,"International Relations, Marketing, Environmental Science, Mechanical Engineering",Group,"Sun (3pm-7pm), Wed (2pm-4pm), Tue (4pm-5pm)",Reading/Writing,Competition,Group Study Rooms,Time Management,Cycling,Philosophy,Supply Chain Manager,Slack,Adobe Illustration,Online,Collaborative,Yes,No
Nicole Wilkerson,Female,Mexico,25+,Bachelor's,Sem 7,"Political Science, Physics, Biology, Sociology",Group,"Sun (2pm-3pm), Wed (2pm-3pm), Tue (11am-3pm)",Kinesthetic,Competition,Quiet Spaces,Research,Chess,Group Entertainment,Project Manager,Email,Power Point,In-person,Focused,No,No
Rachel Floyd,Female,New Zealand,25+,Bachelor's,Sem 4,"Physics, Psychology, Economics, Geography",Individual,"Sun (12pm-2pm), Wed (11am-2pm), Tue (5pm-8pm)",Reading/Writing,Personal Goals,Group Study Rooms,Presentation,Reading,Tech Entrepreneurship,Project Manager,In-Person,Adobe Illustration,In-person,Focused,No,Yes
Melanie Cruz,Non-Binary,India,18-21,Bachelor's,Sem 6,"Mathematics, Biology, Political Science, Engineering Fundamentals",Individual,"Sun (1pm-5pm), Wed (9am-11am), Tue (5pm-9pm)",Visual,Deadlines,Cafes,Analytical Thinking,Cycling,Baking,Software Engineer,Email,Animation Tools,Online,Relaxed,No,No
Erica Munoz,Prefer Not to Say,Ireland,21-25,Master's,Sem 1,"Marketing, International Business, Environmental Science, Degin Futere",Individual,"Sun (1pm-3pm), Wed (1pm-4pm), Tue (4pm-7pm)",Reading/Writing,Deadlines,Library,Research,Gaming,Baking,Business Analyst,WhatsApp,Office 365,Online,Competitive,No,No
Brett Burgess,Binary,Mexico,21-25,Master's,Sem 7,"Finance, Data Science, Marketing, Artificial Intelligence",Group,"Sun (3pm-4pm), Wed (8am-12pm), Tue (2pm-5pm)",Kinesthetic,Competition,Library,Presentation,Chess,Travel,Business Analyst,Slack,Python,Online,Collaborative,Yes,No
Pamela Bender,Male,South Africa,18-21,Master's,Sem 7,"Artificial Intelligence, Architecture, Data Science, Marketing",Individual,"Sun (12pm-2pm), Wed (9am-10am), Tue (9am-12pm)",Kinesthetic,Deadlines,Library,Problem-Solving,Music,Cultural Studies,Supply Chain Manager,Slack,Office 365,In-person,Competitive,No,No
Angela Carter,Binary,Germany,21-25,Bachelor's,Sem 7,"Political Science, Sociology, Literature, Chemistry",Individual,"Sun (2pm-4pm), Wed (8am-10am), Tue (11am-2pm)",Auditory,Personal Goals,Library,Problem-Solving,Gaming,Cultural Studies,Project Manager,Email,Office 365,In-person,Collaborative,No,No
Matthew Bailey,Male,Brazil,21-25,Master's,Sem 6,"International Business, Marketing, Degin Futere, International Relations",Group,"Sun (11am-3pm), Wed (10am-2pm), Tue (4pm-7pm)",Kinesthetic,Deadlines,Cafes,Research,Robotics,Tech Entrepreneurship,Project Manager,In-Person,SQL,Online,Competitive,No,Yes
Vincent Williams,Binary,Mexico,25+,Master's,Sem 3,"International Business, Cybersecurity, Marketing, Degin Futere",Individual,"Sun (2pm-4pm), Wed (12pm-3pm), Tue (8am-9am)",Visual,Deadlines,Quiet Spaces,Presentation,Sports,Philosophy,Data Scientist,Email,SQL,In-person,Focused,Yes,Yes
Michael Gibson,Prefer Not to Say,China,21-25,Bachelor's,Sem 4,"Computer Science, Political Science, Engineering Fundamentals, Physics",Individual,"Sun (4pm-5pm), Wed (9am-1pm), Tue (9am-11am)",Auditory,Deadlines,Library,Presentation,Cooking,Philosophy,Project Manager,WhatsApp,Editing Tools,In-person,Relaxed,No,No
Jessica Martin,Binary,UK,21-25,Bachelor's,Sem 3,"Economics, Computer Science, Engineering Fundamentals, Mathematics",Individual,"Sun (8am-11am), Wed (12pm-1pm), Tue (4pm-8pm)",Reading/Writing,Competition,Cafes,Problem-Solving,Running,Mental Health Advocacy,Supply Chain Manager,Slack,Editing Tools,In-person,Competitive,Yes,Yes
Mark Williams,Prefer Not to Say,Germany,25+,Bachelor's,Sem 1,"Chemistry, History, Geography, Physics",Individual,"Sun (12pm-4pm), Wed (9am-1pm), Tue (11am-3pm)",Reading/Writing,Collaboration,Cafes,Time Management,Cooking,Environmental Activism,Project Manager,Slack,Editing Tools,In-person,Collaborative,No,Yes
Mrs. Lisa Watson DDS,Prefer Not to Say,India,21-25,Bachelor's,Sem 7,"History, Mathematics, Biology, Geography",Individual,"Sun (10am-12pm), Wed (8am-9am), Tue (8am-12pm)",Visual,Personal Goals,Group Study Rooms,Presentation,Photography,Wildlife Conservation,Business Analyst,Email,SQL,In-person,Collaborative,No,Yes
Peter Gray,Female,Brazil,25+,Master's,Sem 4,"Environmental Science, Machine Learning, Cybersecurity, Data Science",Group,"Sun (10am-11am), Wed (1pm-4pm), Tue (2pm-3pm)",Visual,Deadlines,Quiet Spaces,Presentation,Dance,Wildlife Conservation,Supply Chain Manager,Email,Adobe Illustration,Online,Collaborative,Yes,No
Amanda Mcclain,Female,South Africa,18-21,Master's,Sem 4,"Marketing, International Relations, Degin Futere, Business Administration",Group,"Sun (3pm-4pm), Wed (4pm-6pm), Tue (11am-3pm)",Visual,Personal Goals,Group Study Rooms,Problem-Solving,Music,Mental Health Advocacy,Software Engineer,In-Person,Office 365,In-person,Collaborative,No,Yes
Mark Rojas,Binary,Japan,21-25,Bachelor's,Sem 3,"Mathematics, Engineering Fundamentals, Physics, Geography",Group,"Sun (3pm-4pm), Wed (4pm-7pm), Tue (2pm-3pm)",Visual,Personal Goals,Library,Research,Sports,Language Learning,Business Analyst,Slack,Python,Online,Focused,No,Yes
James Scott,Female,Australia,18-21,Bachelor's,Sem 1,"Physics, Sociology, Economics, Biology",Group,"Sun (8am-9am), Wed (12pm-1pm), Tue (5pm-7pm)",Kinesthetic,Deadlines,Cafes,Analytical Thinking,Photography,Mental Health Advocacy,Data Scientist,Email,Adobe Illustration,Online,Collaborative,Yes,No
Steven Johnson,Male,Canada,21-25,Master's,Sem 3,"Marketing, Data Science, Urban Development, International Business",Individual,"Sun (5pm-9pm), Wed (12pm-3pm), Tue (10am-1pm)",Kinesthetic,Competition,Quiet Spaces,Research,Writing,Wildlife Conservation,Project Manager,Slack,Office 365,In-person,Focused,Yes,No
Angela Lewis,Binary,India,18-21,Master's,Sem 3,"Education Leadership, Degin Futere, Mechanical Engineering, Urban Development",Individual,"Sun (1pm-3pm), Wed (12pm-1pm), Tue (3pm-7pm)",Auditory,Collaboration,Quiet Spaces,Presentation,Gaming,Financial Literacy Education,Project Manager,Email,Animation Tools,In-person,Collaborative,Yes,Yes
Mr. Andrew Bailey,Prefer Not to Say,Australia,25+,Bachelor's,Sem 1,"Chemistry, Engineering Fundamentals, Political Science, Psychology",Group,"Sun (1pm-4pm), Wed (1pm-3pm), Tue (4pm-7pm)",Auditory,Competition,Library,Time Management,Writing,Open Source Contributions,Project Manager,Email,Excel,Online,Relaxed,Yes,No
Kathleen Edwards,Male,New Zealand,25+,Master's,Sem 7,"Cybersecurity, Data Science, International Relations, Finance",Group,"Sun (2pm-6pm), Wed (1pm-5pm), Tue (5pm-8pm)",Visual,Collaboration,Cafes,Analytical Thinking,Dance,Volunteering,Business Analyst,WhatsApp,Animation Tools,Online,Collaborative,No,Yes
Samuel Brown,Non-Binary,South Africa,25+,Master's,Sem 6,"Marketing, Urban Development, Mechanical Engineering, International Business",Group,"Sun (3pm-5pm), Wed (2pm-4pm), Tue (5pm-7pm)",Reading/Writing,Deadlines,Group Study Rooms,Analytical Thinking,Sports,Tech Entrepreneurship,Supply Chain Manager,In-Person,SQL,Online,Focused,No,Yes
Seth Mckee,Prefer Not to Say,China,21-25,Master's,Sem 6,"Machine Learning, Degin Futere, Mechanical Engineering, International Relations",Individual,"Sun (3pm-6pm), Wed (12pm-1pm), Tue (1pm-5pm)",Reading/Writing,Collaboration,Library,Time Management,Writing,DJ,Supply Chain Manager,Slack,SQL,In-person,Competitive,No,Yes
Rachel Morrison,Female,Brazil,21-25,Bachelor's,Sem 2,"Literature, Computer Science, History, Engineering Fundamentals",Group,"Sun (5pm-8pm), Wed (9am-11am), Tue (11am-12pm)",Reading/Writing,Collaboration,Library,Time Management,Gaming,Philosophy,Project Manager,Slack,Power Point,Online,Competitive,Yes,Yes
William Green,Non-Binary,New Zealand,25+,Master's,Sem 2,"Education Leadership, Environmental Science, Business Administration, Cybersecurity",Individual,"Sun (3pm-5pm), Wed (10am-12pm), Tue (12pm-3pm)",Kinesthetic,Collaboration,Quiet Spaces,Research,Cycling,Community Service,Software Engineer,In-Person,Adobe Illustration,In-person,Collaborative,No,No
Katie Morales,Prefer Not to Say,Brazil,21-25,Bachelor's,Sem 6,"Geography, Engineering Fundamentals, Physics, Psychology",Group,"Sun (10am-11am), Wed (4pm-6pm), Tue (11am-2pm)",Kinesthetic,Collaboration,Group Study Rooms,Presentation,Reading,Cultural Studies,Project Manager,Email,Adobe Illustration,Online,Collaborative,No,Yes
Hannah Bryant,Female,Japan,21-25,Master's,Sem 2,"Environmental Science, International Business, Data Science, Degin Futere",Individual,"Sun (2pm-4pm), Wed (8am-10am), Tue (3pm-4pm)",Kinesthetic,Personal Goals,Cafes,Time Management,Reading,Environmental Activism,Project Manager,WhatsApp,Office 365,Online,Competitive,Yes,No
Michael Cox,Male,China,25+,Master's,Sem 2,"Urban Development, Marketing, Architecture, Finance",Group,"Sun (9am-1pm), Wed (4pm-7pm), Tue (10am-11am)",Visual,Competition,Cafes,Analytical Thinking,Photography,Travel,Supply Chain Manager,Email,Animation Tools,In-person,Competitive,No,Yes
Desiree Hall,Non-Binary,New Zealand,25+,Master's,Sem 2,"Architecture, Data Science, Business Administration, Machine Learning",Individual,"Sun (9am-1pm), Wed (5pm-7pm), Tue (5pm-6pm)",Kinesthetic,Competition,Group Study Rooms,Time Management,Writing,Open Source Contributions,Project Manager,Slack,Power Point,In-person,Collaborative,Yes,Yes
Catherine Ochoa,Non-Binary,South Africa,25+,Master's,Sem 4,"Environmental Science, Business Administration, Data Science, Cybersecurity",Group,"Sun (10am-11am), Wed (5pm-8pm), Tue (8am-12pm)",Visual,Deadlines,Library,Research,Gaming,Tech Entrepreneurship,Project Manager,WhatsApp,Adobe Illustration,In-person,Collaborative,No,No
Amanda Cross,Male,South Africa,18-21,Master's,Sem 7,"International Business, Machine Learning, Business Administration, Artificial Intelligence",Individual,"Sun (8am-9am), Wed (3pm-4pm), Tue (11am-2pm)",Reading/Writing,Collaboration,Library,Time Management,Yoga,Independent Music,Business Analyst,Slack,Editing Tools,In-person,Collaborative,No,No
Crystal Taylor,Female,Brazil,25+,Master's,Sem 2,"Architecture, Environmental Science, Finance, Mechanical Engineering",Individual,"Sun (10am-1pm), Wed (8am-9am), Tue (9am-12pm)",Reading/Writing,Competition,Quiet Spaces,Time Management,Yoga,Renewable Energy,Supply Chain Manager,WhatsApp,Power Point,Online,Relaxed,Yes,Yes
Kristy Blair,Non-Binary,USA,21-25,Bachelor's,Sem 5,"Geography, Engineering Fundamentals, Physics, Chemistry",Individual,"Sun (2pm-4pm), Wed (5pm-9pm), Tue (3pm-5pm)",Kinesthetic,Deadlines,Quiet Spaces,Research,Photography,Philosophy,Data Scientist,Email,Python,Online,Focused,Yes,No
Kathy White,Non-Binary,New Zealand,21-25,Bachelor's,Sem 4,"Geography, Economics, Chemistry, Political Science",Group,"Sun (10am-12pm), Wed (10am-2pm), Tue (1pm-4pm)",Visual,Deadlines,Cafes,Research,Chess,DJ,Project Manager,WhatsApp,Adobe Illustration,In-person,Collaborative,Yes,Yes
Robert Smith,Prefer Not to Say,Canada,21-25,Master's,Sem 6,"Marketing, Environmental Science, Urban Development, Architecture",Individual,"Sun (1pm-2pm), Wed (10am-11am), Tue (1pm-5pm)",Visual,Competition,Cafes,Analytical Thinking,Music,Baking,Business Analyst,Slack,Animation Tools,In-person,Relaxed,Yes,Yes
Mr. Benjamin Mccarthy DDS,Binary,Canada,18-21,Bachelor's,Sem 8,"Physics, Engineering Fundamentals, Computer Science, Literature",Individual,"Sun (2pm-4pm), Wed (12pm-3pm), Tue (5pm-7pm)",Kinesthetic,Competition,Group Study Rooms,Time Management,Hiking,Travel,Data Scientist,In-Person,Adobe Illustration,Online,Competitive,Yes,Yes
Christine Cole,Male,Australia,25+,Bachelor's,Sem 1,"Engineering Fundamentals, Computer Science, Sociology, Physics",Group,"Sun (8am-11am), Wed (5pm-6pm), Tue (3pm-7pm)",Reading/Writing,Collaboration,Library,Analytical Thinking,Robotics,Culinary Arts,Supply Chain Manager,Slack,Adobe Illustration,Online,Competitive,No,No
Miranda Murphy,Binary,Australia,21-25,Bachelor's,Sem 8,"Physics, Chemistry, Geography, Economics",Group,"Sun (3pm-4pm), Wed (4pm-6pm), Tue (11am-12pm)",Reading/Writing,Deadlines,Cafes,Analytical Thinking,Robotics,Independent Music,Data Scientist,In-Person,Power Point,In-person,Focused,Yes,No
